ano_alvo,ano_caged,mes_corte,admissoes_fem_jan_corte,desligamentos_fem_jan_corte,saldo_fem_jan_corte,estoque_formal_total_inicio,cag_fem_taxa,cag_fem_z,media_treino,desvio_treino,cenario_corte
2021,2020,8,134286,188688,-54402,1858047.0,-0.0292791301834668,-1.6889907810526006,0.0034619342017584,0.0193849870304328,jan-08
2022,2021,8,195790,170457,25333,1750261.0,0.0144738413299502,0.5680636830400773,0.0034619342017584,0.0193849870304328,jan-08
2023,2022,8,243671,206190,37481,1837234.0,0.0204007763844997,0.8738124073102936,0.0034619342017584,0.0193849870304328,jan-08
2024,2023,8,227783,211796,15987,1937290.0,0.0082522492760505,0.2471146907022298,0.0034619342017584,0.0193849870304328,jan-08
2025,2024,8,253330,228372,24958,2007743.0,0.0124308738718053,0.4626745251862378,0.0034619342017584,0.0193849870304328,jan-08
2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814,jan-09
2022,2021,9,224425,192851,31574,1750261.0,0.0180395952375102,0.6388637475611166,0.005083723205515,0.0202795542577814,jan-09
2023,2022,9,275465,235069,40396,1837234.0,0.02198740062507,0.8335329862128976,0.005083723205515,0.0202795542577814,jan-09
2024,2023,9,255093,236761,18332,1937290.0,0.0094627030542665,0.2159307740736566,0.005083723205515,0.0202795542577814,jan-09
2025,2024,9,287457,257320,30137,2007743.0,0.0150103872856237,0.4894912360462613,0.005083723205515,0.0202795542577814,jan-09
