ano,territorio,grupamento_modelo,inscritos,universo_elegivel_proxy,tendencia,tend_bercario,tend_maternal_i,tend_maternal_ii
2021,ABOLICAO,Bercario,17,193.0,0,0,0,0
2021,ABOLICAO,Maternal I,13,85.0,0,0,0,0
2021,ABOLICAO,Maternal II,9,118.0,0,0,0,0
2021,ACARI,Bercario,208,817.0,0,0,0,0
2021,ACARI,Maternal I,200,527.0,0,0,0,0
2021,ACARI,Maternal II,91,563.0,0,0,0,0
2021,AGUA SANTA,Bercario,14,148.0,0,0,0,0
2021,AGUA SANTA,Maternal I,19,97.0,0,0,0,0
2021,AGUA SANTA,Maternal II,17,69.0,0,0,0,0
2021,ALTO BOA VISTA,Bercario,44,196.0,0,0,0,0
2021,ALTO BOA VISTA,Maternal I,10,100.0,0,0,0,0
2021,ALTO BOA VISTA,Maternal II,7,109.0,0,0,0,0
2021,ANCHIETA,Bercario,238,1769.0,0,0,0,0
2021,ANCHIETA,Maternal I,225,879.0,0,0,0,0
2021,ANCHIETA,Maternal II,200,884.0,0,0,0,0
2021,ANDARAI,Bercario,121,576.0,0,0,0,0
2021,ANDARAI,Maternal I,38,369.0,0,0,0,0
2021,ANDARAI,Maternal II,20,372.0,0,0,0,0
2021,ANIL,Bercario,338,864.0,0,0,0,0
2021,ANIL,Maternal I,364,436.0,0,0,0,0
2021,ANIL,Maternal II,531,432.0,0,0,0,0
2021,ARGENTINO,Bercario,0,0.0,0,0,0,0
2021,ARGENTINO,Maternal I,0,0.0,0,0,0,0
2021,ARGENTINO,Maternal II,0,0.0,0,0,0,0
2021,BANCARIOS,Bercario,57,305.0,0,0,0,0
2021,BANCARIOS,Maternal I,33,150.0,0,0,0,0
2021,BANCARIOS,Maternal II,37,162.0,0,0,0,0
2021,BANGU,Bercario,1148,5420.0,0,0,0,0
2021,BANGU,Maternal I,984,2955.0,0,0,0,0
2021,BANGU,Maternal II,649,3357.0,0,0,0,0
2021,BARRA GUARATIBA,Bercario,5,137.0,0,0,0,0
2021,BARRA GUARATIBA,Maternal I,6,65.0,0,0,0,0
2021,BARRA GUARATIBA,Maternal II,5,76.0,0,0,0,0
2021,BARRA OLIMPICA,Bercario,0,0.0,0,0,0,0
2021,BARRA OLIMPICA,Maternal I,0,0.0,0,0,0,0
2021,BARRA OLIMPICA,Maternal II,0,0.0,0,0,0,0
2021,BARRA TIJUCA,Bercario,48,2572.0,0,0,0,0
2021,BARRA TIJUCA,Maternal I,52,1353.0,0,0,0,0
2021,BARRA TIJUCA,Maternal II,54,1431.0,0,0,0,0
2021,BARROS FILHO,Bercario,88,488.0,0,0,0,0
2021,BARROS FILHO,Maternal I,83,270.0,0,0,0,0
2021,BARROS FILHO,Maternal II,74,277.0,0,0,0,0
2021,BENFICA,Bercario,304,968.0,0,0,0,0
2021,BENFICA,Maternal I,187,491.0,0,0,0,0
2021,BENFICA,Maternal II,156,530.0,0,0,0,0
2021,BENTO RIBEIRO,Bercario,60,831.0,0,0,0,0
2021,BENTO RIBEIRO,Maternal I,130,457.0,0,0,0,0
2021,BENTO RIBEIRO,Maternal II,130,484.0,0,0,0,0
2021,BONSUCESSO,Bercario,233,1681.0,0,0,0,0
2021,BONSUCESSO,Maternal I,174,613.0,0,0,0,0
2021,BONSUCESSO,Maternal II,139,583.0,0,0,0,0
2021,BOTAFOGO,Bercario,40,1247.0,0,0,0,0
2021,BOTAFOGO,Maternal I,45,713.0,0,0,0,0
2021,BOTAFOGO,Maternal II,31,754.0,0,0,0,0
2021,BRAS PINA,Bercario,78,935.0,0,0,0,0
2021,BRAS PINA,Maternal I,86,582.0,0,0,0,0
2021,BRAS PINA,Maternal II,69,607.0,0,0,0,0
2021,CACHAMBI,Bercario,46,671.0,0,0,0,0
2021,CACHAMBI,Maternal I,31,399.0,0,0,0,0
