ano_referencia,codigo,nome,tipo_oferta,tipo_unidade,cre,microarea,endereco,bairro,latitude,longitude,matriculas_total,mat_bercario,mat_maternal_1,mat_maternal_2,turmas_total,capacidade_meta,vagas_reportadas,fila_total,fila_bercario,fila_maternal_1,fila_maternal_2,fila_por_100_matriculas,classe_pressao_fila,referencia_matriculas,demanda_prevista,gap_demanda_oferta,prioridade_modelo
2025,716609,Creche Municipal Rio Novo - Rio das Flores,Pública,Creche,7.0,7.19,"Estrada De Jacarepaguá, 5.091 - Rio Das Pedras",Freguesia,-22.972272,-43.334928,145.0,50.0,49.0,46.0,6.0,0.0,0.0,765.0,254.0,212.0,299.0,527.5862068965517,Mais de 75 por 100 matriculados,Consolidado público de 2025,,,
2025,716812,Espaço de Desenvolvimento Infantil Escritora Clarice Lispector,Pública,EDI,7.0,7.23,Estrada De Jacarepaguá 2166,Rio Das Pedras,-22.976261,-43.325334,67.0,24.0,21.0,22.0,3.0,0.0,0.0,580.0,164.0,181.0,235.0,865.6716417910447,Mais de 75 por 100 matriculados,Consolidado público de 2025,,,
2025,716601,Creche Municipal Otávio Henrique de Oliveira,Pública,Creche,7.0,7.22,"Rua Nova, 20 - Rio Das Pedras",Jacarepaguá,-22.974934,-43.331015,145.0,0.0,73.0,72.0,6.0,0.0,0.0,560.0,0.0,228.0,332.0,386.2068965517241,Mais de 75 por 100 matriculados,Consolidado público de 2025,,,
2025,716814,Espaço de Desenvolvimento Infantil Professora Emilia Maria Vieira de Oliveira,Pública,EDI,7.0,7.22,RUA VELHA S/N°,RIO DAS PEDRAS,-22.974188,-43.331099,92.0,0.0,46.0,46.0,4.0,0.0,0.0,473.0,0.0,194.0,279.0,514.1304347826087,Mais de 75 por 100 matriculados,Consolidado público de 2025,,,
2025,7013,CP ESPAÇO DE EDUCAÇÃO INFANTIL CIDADE DE DEUS,Parceira,Creche Parceira,7.0,7.14,"AV. CIDADE DE DEUS, S/Nº, VILA NOVA CRUZADA, LOTE 6",CIDADE DE DEUS / JACAREPAGUÁ,-22.95235,-43.36266,194.0,63.0,61.0,70.0,0.0,207.0,11.0,322.0,320.0,0.0,2.0,165.97938144329896,Mais de 75 por 100 matriculados,Maio de 2025,,,
2025,734802,Espaço de Desenvolvimento Infantil Senhora Perciliana Pereira de Alvarenga,Pública,EDI,7.0,7.14,Rua Moisés - Cidade de Deus,Jacarepaguá,-22.94965,-43.356636,99.0,49.0,24.0,26.0,4.0,0.0,0.0,321.0,314.0,6.0,1.0,324.24242424242425,Mais de 75 por 100 matriculados,Consolidado público de 2025,,,
2025,716613,Creche Municipal Maria da Conceição Silveira de Carvalho,Pública,Creche,7.0,7.27,Rua Franz Weissman 100 Condomínio Rio 2,Jacarepaguá,-22.968566,-43.389478,79.0,27.0,27.0,25.0,3.0,0.0,0.0,303.0,127.0,104.0,72.0,383.54430379746833,Mais de 75 por 100 matriculados,Consolidado público de 2025,,,
2025,716603,Creche Municipal Criança do Futuro,Pública,Creche,7.0,7.11,"Rua Iperó, S/Nº - Parque Curicica",Jacarepaguá,-22.944254,-43.384456,100.0,25.0,27.0,48.0,4.0,0.0,0.0,293.0,188.0,67.0,38.0,293.0,Mais de 75 por 100 matriculados,Consolidado público de 2025,,,
2025,716805,Espaço de Desenvolvimento Infantil Anna Maria Niemeyer,Pública,EDI,7.0,7.19,Avenida Engenheiro Souza Filho S/Nº Rio das Pedras,Jacarepaguá,-22.977493,-43.332264,45.0,0.0,0.0,45.0,2.0,0.0,0.0,280.0,0.0,0.0,280.0,622.2222222222222,Mais de 75 por 100 matriculados,Consolidado público de 2025,,,
2025,7014,CP CENTRO INTEGRADO SÃO JOSÉ,Parceira,Creche Parceira,7.0,7.16,"RUA EDGARD WERNECK, 1615",CIDADE DE DEUS / JACAREPAGUÁ,-22.94726,-43.36008,115.0,24.0,43.0,48.0,0.0,117.0,0.0,270.0,270.0,0.0,0.0,234.7826086956522,Mais de 75 por 100 matriculados,Maio de 2025,,,
2025,716606,Creche Municipal Amiguinhos da Vila Sapê,Pública,Creche,7.0,7.12,"Rua Itamar, 9 - Vila Sapê",Jacarepaguá,-22.947959,-43.374412,98.0,25.0,25.0,48.0,4.0,0.0,0.0,241.0,203.0,29.0,9.0,245.91836734693877,Mais de 75 por 100 matriculados,Consolidado público de 2025,,,
2025,716614,Creche Municipal Augusto de Carvalho Torres Filho,Pública,Creche,7.0,7.9,Rua da Reverência s/n°,Curicica,-22.955267,-43.390377,74.0,24.0,25.0,25.0,3.0,0.0,0.0,234.0,136.0,56.0,42.0,316.2162162162162,Mais de 75 por 100 matriculados,Consolidado público de 2025,,,
2025,7040,CP CRECHE VALE DO SOL PRAÇA SECA,Parceira,Creche Parceira,7.0,7.2,"RUA BARÃO, 1049",JACAREPAGUÁ,-22.89823,-43.35344,389.0,130.0,115.0,144.0,0.0,393.0,0.0,233.0,131.0,83.0,19.0,59.897172236503856,25 a 75 por 100 matriculados,Maio de 2025,,,
2025,716820,Espaço de Desenvolvimento Infantil Medalhista Olímpica Agatha Bednarczuk Rippel,Pública,EDI,7.0,7.11,Rua João Bruno Lobo (esq. Com a Rua Marilena) - PAL 21.403,Curicica,-22.954432,-43.382779,96.0,24.0,24.0,48.0,4.0,0.0,0.0,231.0,133.0,70.0,28.0,240.625,Mais de 75 por 100 matriculados,Consolidado público de 2025,,,
