ano_referencia,codigo,nome,tipo_oferta,tipo_unidade,cre,microarea,endereco,bairro,latitude,longitude,matriculas_total,mat_bercario,mat_maternal_1,mat_maternal_2,turmas_total,capacidade_meta,vagas_reportadas,fila_total,fila_bercario,fila_maternal_1,fila_maternal_2,fila_por_100_matriculas,classe_pressao_fila,referencia_matriculas,demanda_prevista,gap_demanda_oferta,prioridade_modelo
2025,10052,CP CRECHE COMUNITÁRIA DEUS É FIEL - UNIDADE VII,Parceira,,10,,,,,,321.0,73.0,108.0,140.0,0.0,321.0,0.0,91.0,18.0,70.0,3.0,28.34890965732087,25 a 75 por 100 matriculados,Maio de 2025,,,
2025,8022,CP ASSOCIAÇÃO CRECHE ESPERANÇA - MAGALHÃES BASTOS,Somente inscrição,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,36.0,10.0,6.0,,Com fila e sem matrícula observada,Sem matrícula localizada,,,
2025,5009,CP ASSOCIAÇÃO CRECHE ESPERANÇA - IRAJÁ,Somente inscrição,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,24.0,15.0,4.0,,Com fila e sem matrícula observada,Sem matrícula localizada,,,
2025,10072,CP CRECHE COMUNITÁRIA DEUS É FIEL - UNIDADE X,Parceira,,10,,,,,,125.0,24.0,50.0,51.0,0.0,125.0,0.0,32.0,16.0,4.0,12.0,25.6,25 a 75 por 100 matriculados,Maio de 2025,,,
2025,8017,CP ASSOCIAÇÃO CRECHE ESPERANÇA - REALENGO,Somente inscrição,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.0,1.0,2.0,,Com fila e sem matrícula observada,Sem matrícula localizada,,,
2025,10051,CP CRECHE COMUNITÁRIA DEUS É FIEL - UNIDADE VI,Parceira,,10,,,,,,326.0,78.0,111.0,137.0,0.0,333.0,7.0,14.0,9.0,0.0,5.0,4.294478527607362,Até 25 por 100 matriculados,Maio de 2025,,,
2025,10046,CP CRECHE COMUNITÁRIA DEUS É FIEL - CCDF,Parceira,,10,,,,,,269.0,65.0,92.0,112.0,0.0,317.0,34.0,14.0,10.0,3.0,1.0,5.204460966542751,Até 25 por 100 matriculados,Maio de 2025,,,
2025,6018,CP ASSOCIAÇÃO CRECHE ESPERANÇA - COELHO NETO,Somente inscrição,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,2.0,3.0,,Com fila e sem matrícula observada,Sem matrícula localizada,,,
2025,5002,CP CRECHE EFFATÁ,Parceira,,5,,,,,,53.0,0.0,19.0,34.0,0.0,56.0,1.0,13.0,0.0,11.0,2.0,24.528301886792452,Até 25 por 100 matriculados,Maio de 2025,,,
2025,9038,CP CEM CRECHE ESCOLA MACHADO UNIDADE II,Parceira,,9,,,,,,201.0,41.0,88.0,72.0,0.0,200.0,0.0,6.0,5.0,1.0,0.0,2.985074626865672,Até 25 por 100 matriculados,Maio de 2025,,,
2025,8024,CP CEM CRECHE ESCOLA MACHADO - UNIDADE I,Parceira,,8,,,,,,78.0,16.0,31.0,31.0,0.0,120.0,40.0,4.0,4.0,0.0,0.0,5.128205128205129,Até 25 por 100 matriculados,Maio de 2025,,,
2025,8015,CP CEM CRECHE ESCOLA MACHADO,Parceira,,8,,,,,,176.0,39.0,63.0,74.0,0.0,361.0,181.0,3.0,2.0,1.0,0.0,1.7045454545454546,Até 25 por 100 matriculados,Maio de 2025,,,
2025,11010,CP CHALÉ SEMENTINHA (ILHA DO GOVERNADOR),Somente inscrição,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,Com fila e sem matrícula observada,Sem matrícula localizada,,,
2025,10079,CP CRECHE COMUNITÁRIA DEUS É FIEL - UNIDADE VIII,Parceira,,10,,,,,,165.0,56.0,55.0,54.0,0.0,225.0,54.0,0.0,0.0,0.0,0.0,0.0,Sem fila observada,Maio de 2025,,,
2025,2020,CP CASA ESPÍRITA CRISTÃ MARIA DE NAZARÉ,Parceira,,2,,,,,,120.0,47.0,36.0,37.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,Sem fila observada,Maio de 2025,,,
2025,2062,CP CENTRO EDUCACIONAL ROUPA FELIZ,Parceira,,2,,,,,,10.0,0.0,1.0,9.0,0.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,Sem fila observada,Maio de 2025,,,
