ano,aluno_anon,codigo_unidade,nome_unidade,opcao_primeiro_registro,data_primeiro_registro
2025,aluno_0000004,716609,CM RIO NOVO - RIO DAS FLORES,1,2024-12-13 12:22:02.380
2025,aluno_0000004,716812,EDI ESCRITORA CLARICE LISPECTOR,2,2024-12-13 12:22:02.380
2025,aluno_0000005,724602,CM DINA SFAT,1,2025-04-14 14:03:49.440
2025,aluno_0000006,8004,CP CRECHE COMUNITÁRIA NINO,1,2024-12-13 09:10:49.247
2025,aluno_0000006,817602,CM VILA PROGRESSO,2,2024-12-13 09:10:49.247
2025,aluno_0000006,817607,CM MULHERES DO QUAFÁ,4,2024-12-13 09:10:49.247
2025,aluno_0000006,817612,CM VILA KENNEDY,3,2024-12-13 09:10:49.247
2025,aluno_0000008,4022,CP CRECHE VALE DO SOL NO GROTÃO,3,2024-12-16 23:10:28.970
2025,aluno_0000008,410808,EDI ALMIR LEITE RIBEIRO,1,2024-12-16 23:10:28.970
2025,aluno_0000008,411601,CM CARLOS DRUMMOND DE ANDRADE,2,2024-12-16 23:10:28.970
2025,aluno_0000008,411602,CM TEMPO DE APRENDER,5,2024-12-16 23:10:28.970
2025,aluno_0000008,411603,CM MORRO DA PAZ,4,2024-12-16 23:10:28.970
2025,aluno_0000009,3007,CP CRECHE CHAMEGUINHO,1,2024-12-11 08:38:47.570
2025,aluno_0000011,410808,EDI ALMIR LEITE RIBEIRO,1,2025-04-03 08:11:54.617
2025,aluno_0000012,3019,CP INSTITUTO EDUCACIONAL CRESCENDO E APRENDENDO ALGODÃO DOCE,2,2024-12-16 22:11:55.003
2025,aluno_0000012,330601,CM JOSÉ DE VIEIRA DA SILVA,1,2024-12-16 22:11:55.003
2025,aluno_0000013,430602,CM VILA PINHEIRO,2,2024-12-18 14:16:16.950
2025,aluno_0000013,430815,EDI PESCADOR ALBANO ROSA,1,2024-12-18 14:16:16.950
2025,aluno_0000014,6002,CP CRECHE GUADALUPE,1,2024-12-17 10:23:47.253
2025,aluno_0000015,5006,CP CRECHE CARDEAL CÂMARA,1,2024-12-16 10:00:28.837
2025,aluno_0000015,515606,CM JOSUÉ DE CASTRO,2,2024-12-16 10:00:28.837
2025,aluno_0000015,515611,CM VOVÓ MARIA JOANA,3,2024-12-16 10:00:28.837
2025,aluno_0000015,515809,EDI PROFESSOR UBIRAJARA DE PAULA CASTRO,4,2024-12-16 10:00:28.837
2025,aluno_0000015,7038,CP CAAD UNIVERSO DAS FLORES,1,2024-12-16 10:00:29.020
2025,aluno_0000016,4022,CP CRECHE VALE DO SOL NO GROTÃO,1,2025-06-24 10:30:52.377
2025,aluno_0000017,4040,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL X,3,2024-12-18 10:01:50.443
2025,aluno_0000017,431602,CM BARBOSA LIMA SOBRINHO,2,2024-12-18 10:01:50.443
2025,aluno_0000017,431605,CM SEMPRE VIDA DIQUE,1,2024-12-18 10:01:50.443
2025,aluno_0000018,3014,CP CRECHE PLANTANDO O AMANHÃ,1,2024-12-11 08:46:57.083
2025,aluno_0000018,3026,CP CHALÉ SEMENTINHA,3,2024-12-11 08:46:57.083
2025,aluno_0000018,3037,CP CRECHE FRUTOS DO AMANHÃ I,2,2024-12-11 08:46:57.083
2025,aluno_0000019,4047,CP CRECHE VALE DO SOL III,1,2024-12-18 10:23:12.283
2025,aluno_0000020,5001,CP ASSOCIAÇÃO AMIGOS DA CRIANÇA - CRECHE ROCHA MIRANDA,2,2024-12-13 12:04:06.353
2025,aluno_0000020,5015,CP AEMMAC - ROCHA MIRANDA,3,2024-12-13 12:04:06.353
2025,aluno_0000020,515801,EDI KARINE LORRAINE CHAGAS DE OLIVEIRA,1,2024-12-13 12:04:06.353
2025,aluno_0000020,6018,CP ASSOCIAÇÃO CRECHE ESPERANÇA - COELHO NETO,2,2024-12-13 12:04:06.393
2025,aluno_0000020,625604,CM HERBERT DE SOUZA - BETINHO,1,2024-12-13 12:04:06.393
2025,aluno_0000021,625611,CM ZILKA SALABERRY,2,2024-12-16 14:23:50.257
2025,aluno_0000021,625612,CM YEDDA MARQUES LAMOUNIER DE ANDRADE MACIEL,1,2024-12-16 14:23:50.257
2025,aluno_0000021,625615,CM EDNA LOTTE,3,2024-12-16 14:23:50.257
2025,aluno_0000022,10011,CP CRECHE PINGUINHO DE GENTE,1,2024-12-17 08:19:10.230
2025,aluno_0000023,515807,EDI BURITI CONGONHAS,2,2024-12-13 09:38:47.673
2025,aluno_0000023,515808,EDI GUARACIARA RODRIGUES DINIZ,1,2024-12-13 09:38:47.673
2025,aluno_0000024,4005,CP CASA DE JOEL,1,2025-05-29 11:46:18.503
2025,aluno_0000025,515808,EDI GUARACIARA RODRIGUES DINIZ,1,2024-12-18 12:25:18.857
2025,aluno_0000026,7013,CP ESPAÇO DE EDUCAÇÃO INFANTIL CIDADE DE DEUS,2,2024-12-12 17:07:10.020
2025,aluno_0000026,7014,CP CENTRO INTEGRADO SÃO JOSÉ,1,2024-12-12 17:07:10.020
