ano,territorio,grupamento_modelo,inscritos,universo_elegivel_proxy,tendencia,tend_bercario,tend_maternal_i,tend_maternal_ii,prev_modelo,p10,p90,p025,p975,alpha_nb,taxa_anterior,prev_persistencia,ano_treino_final,ano_teste
2025,ABOLICAO,Bercario,18,146.0,4,4,0,0,23.58840996022077,15.0,33.0,11.0,39.0,0.05349348228090407,0.2012987012987013,29.38961038961039,2024,2025
2025,ABOLICAO,Maternal I,39,78.0,4,0,4,0,19.27942893068264,12.0,28.0,9.0,33.0,0.05349348228090407,0.2391304347826087,18.65217391304348,2024,2025
2025,ABOLICAO,Maternal II,13,92.0,4,0,0,4,11.982588766697788,7.0,18.0,4.0,22.0,0.05349348228090407,0.1375,12.65,2024,2025
2025,ACARI,Bercario,207,794.0,4,4,0,0,273.9132922451929,194.0,360.0,160.0,416.0,0.05349348228090407,0.28588807785888076,226.99513381995132,2024,2025
2025,ACARI,Maternal I,239,407.0,4,0,4,0,214.80320960248596,152.0,283.0,125.0,327.0,0.05349348228090407,0.6934673366834171,282.24120603015075,2024,2025
2025,ACARI,Maternal II,79,398.0,4,0,0,4,110.68600017598712,77.0,147.0,63.0,171.0,0.05349348228090407,0.2678132678132678,106.58968058968058,2024,2025
2025,AGUA SANTA,Bercario,10,110.0,4,4,0,0,21.71392493170225,13.0,31.0,10.0,37.0,0.05349348228090407,0.14634146341463414,16.097560975609756,2024,2025
2025,AGUA SANTA,Maternal I,19,69.0,4,0,4,0,20.837638014673946,13.0,30.0,9.0,35.0,0.05349348228090407,0.5166666666666667,35.650000000000006,2024,2025
2025,AGUA SANTA,Maternal II,6,60.0,4,0,0,4,9.548033048645138,5.0,15.0,3.0,18.0,0.05349348228090407,0.14492753623188406,8.695652173913043,2024,2025
2025,ALTO BOA VISTA,Bercario,43,154.0,4,4,0,0,37.68563921319558,25.0,52.0,19.0,61.0,0.05349348228090407,0.3727810650887574,57.40828402366864,2024,2025
2025,ALTO BOA VISTA,Maternal I,32,70.0,4,0,4,0,26.206375340092926,17.0,37.0,13.0,43.0,0.05349348228090407,0.28431372549019607,19.901960784313726,2024,2025
2025,ALTO BOA VISTA,Maternal II,9,102.0,4,0,0,4,20.12205599657994,12.0,29.0,9.0,34.0,0.05349348228090407,0.16304347826086957,16.630434782608695,2024,2025
2025,ANCHIETA,Bercario,255,1192.0,4,4,0,0,296.2514312403298,210.0,390.0,174.0,449.0,0.05349348228090407,0.20187454938716654,240.6344628695025,2024,2025
2025,ANCHIETA,Maternal I,344,746.0,4,0,4,0,283.6460766934578,201.0,373.0,166.0,431.0,0.05349348228090407,0.547550432276657,408.47262247838614,2024,2025
2025,ANCHIETA,Maternal II,181,694.0,4,0,0,4,139.04670073326506,97.0,184.0,80.0,213.0,0.05349348228090407,0.24939467312348668,173.07990314769975,2024,2025
2025,ANDARAI,Bercario,89,459.0,4,4,0,0,79.11888542821222,54.0,106.0,44.0,123.0,0.05349348228090407,0.22529644268774704,103.41106719367589,2024,2025
2025,ANDARAI,Maternal I,52,269.0,4,0,4,0,70.93711253614632,48.0,95.0,39.0,111.0,0.05349348228090407,0.23430962343096234,63.02928870292887,2024,2025
2025,ANDARAI,Maternal II,20,239.0,4,0,0,4,33.21103362032661,21.0,46.0,17.0,54.0,0.05349348228090407,0.060810810810810814,14.533783783783784,2024,2025
