ano_referencia,codigo,nome,tipo_oferta,tipo_unidade,cre,microarea,endereco,bairro,latitude,longitude,matriculas_total,mat_bercario,mat_maternal_1,mat_maternal_2,turmas_total,capacidade_meta,vagas_reportadas,demanda_historica,demanda_hist_bercario,demanda_hist_maternal_1,demanda_hist_maternal_2,demanda_hist_por_100_matriculas,fila_total,fila_bercario,fila_maternal_1,fila_maternal_2,fila_por_100_matriculas,classe_pressao_fila,referencia_matriculas,demanda_prevista_inscritos,demanda_prevista_efetiva,demanda_efetiva_p025,demanda_efetiva_p975,ano_previsao,capacidade_ano_anterior,gap_pressao_efetiva,gap_pressao_p025,gap_pressao_p975,gap_significativo_95,prioridade_modelo
2025,10052,CP CRECHE COMUNITÁRIA DEUS É FIEL - UNIDADE VII,Parceira,,10,,,,,,321.0,73.0,108.0,140.0,0.0,321.0,0.0,493.0,235.0,145.0,113.0,153.58255451713396,91.0,18.0,70.0,3.0,28.34890965732087,25 a 75 por 100 matriculados,Maio de 2025,,533.6061357287658,,,2026.0,,,,,,
2025,5009,CP ASSOCIAÇÃO CRECHE ESPERANÇA - IRAJÁ,Somente inscrição,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,146.0,87.0,16.0,,43.0,24.0,15.0,4.0,,Com fila e sem matrícula observada,Sem matrícula localizada,,28.361250409539164,,,2026.0,,,,,,
2025,10051,CP CRECHE COMUNITÁRIA DEUS É FIEL - UNIDADE VI,Parceira,,10,,,,,,326.0,78.0,111.0,137.0,0.0,333.0,7.0,245.0,141.0,66.0,38.0,75.15337423312883,14.0,9.0,0.0,5.0,4.294478527607362,Até 25 por 100 matriculados,Maio de 2025,,443.8992190379689,,,2026.0,,,,,,
2025,8017,CP ASSOCIAÇÃO CRECHE ESPERANÇA - REALENGO,Somente inscrição,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,134.0,65.0,33.0,,25.0,22.0,1.0,2.0,,Com fila e sem matrícula observada,Sem matrícula localizada,,22.974488350513266,,,2026.0,,,,,,
2025,10072,CP CRECHE COMUNITÁRIA DEUS É FIEL - UNIDADE X,Parceira,,10,,,,,,125.0,24.0,50.0,51.0,0.0,125.0,0.0,219.0,115.0,66.0,38.0,175.2,32.0,16.0,4.0,12.0,25.6,25 a 75 por 100 matriculados,Maio de 2025,,381.2978236649009,,,2026.0,,,,,,
2025,8015,CP CEM CRECHE ESCOLA MACHADO,Parceira,,8,,,,,,176.0,39.0,63.0,74.0,0.0,361.0,181.0,205.0,105.0,69.0,31.0,116.47727272727273,3.0,2.0,1.0,0.0,1.7045454545454546,Até 25 por 100 matriculados,Maio de 2025,,150.03565716886368,,,2026.0,,,,,,
2025,10046,CP CRECHE COMUNITÁRIA DEUS É FIEL - CCDF,Parceira,,10,,,,,,269.0,65.0,92.0,112.0,0.0,317.0,34.0,192.0,134.0,41.0,17.0,71.37546468401487,14.0,10.0,3.0,1.0,5.204460966542751,Até 25 por 100 matriculados,Maio de 2025,,76.65228043763734,,,2026.0,,,,,,
2025,6018,CP ASSOCIAÇÃO CRECHE ESPERANÇA - COELHO NETO,Somente inscrição,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,107.0,55.0,20.0,,14.0,9.0,2.0,3.0,,Com fila e sem matrícula observada,Sem matrícula localizada,,21.26484914217546,,,2026.0,,,,,,
2025,9038,CP CEM CRECHE ESCOLA MACHADO UNIDADE II,Parceira,,9,,,,,,201.0,41.0,88.0,72.0,0.0,200.0,0.0,155.0,91.0,39.0,26.0,77.11442786069652,6.0,5.0,1.0,0.0,2.985074626865672,Até 25 por 100 matriculados,Maio de 2025,,136.79495245395242,,,2026.0,,,,,,
2025,8022,CP ASSOCIAÇÃO CRECHE ESPERANÇA - MAGALHÃES BASTOS,Somente inscrição,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,77.0,48.0,21.0,,52.0,36.0,10.0,6.0,,Com fila e sem matrícula observada,Sem matrícula localizada,,29.44392942188464,,,2026.0,,,,,,
2025,8024,CP CEM CRECHE ESCOLA MACHADO - UNIDADE I,Parceira,,8,,,,,,78.0,16.0,31.0,31.0,0.0,120.0,40.0,128.0,74.0,31.0,23.0,164.10256410256412,4.0,4.0,0.0,0.0,5.128205128205129,Até 25 por 100 matriculados,Maio de 2025,,128.1317210244233,,,2026.0,,,,,,
2025,5002,CP CRECHE EFFATÁ,Parceira,,5,,,,,,53.0,0.0,19.0,34.0,0.0,56.0,1.0,116.0,0.0,87.0,29.0,218.8679245283019,13.0,0.0,11.0,2.0,24.528301886792452,Até 25 por 100 matriculados,Maio de 2025,,33.315262319079,,,2026.0,,,,,,
2025,2020,CP CASA ESPÍRITA CRISTÃ MARIA DE NAZARÉ,Parceira,,2,,,,,,120.0,47.0,36.0,37.0,0.0,120.0,0.0,104.0,80.0,17.0,7.0,86.66666666666667,0.0,0.0,0.0,0.0,0.0,Sem fila observada,Maio de 2025,,18.80101142969633,,,2026.0,,,,,,
2025,10079,CP CRECHE COMUNITÁRIA DEUS É FIEL - UNIDADE VIII,Parceira,,10,,,,,,165.0,56.0,55.0,54.0,0.0,225.0,54.0,103.0,70.0,26.0,7.0,62.42424242424242,0.0,0.0,0.0,0.0,0.0,Sem fila observada,Maio de 2025,,81.98656049542875,,,2026.0,,,,,,
2025,11010,CP CHALÉ SEMENTINHA (ILHA DO GOVERNADOR),Somente inscrição,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,29.0,19.0,11.0,,1.0,1.0,0.0,0.0,,Com fila e sem matrícula observada,Sem matrícula localizada,,20.346330829912155,,,2026.0,,,,,,
2025,2062,CP CENTRO EDUCACIONAL ROUPA FELIZ,Parceira,,2,,,,,,10.0,0.0,1.0,9.0,0.0,18.0,8.0,13.0,0.0,9.0,4.0,130.0,0.0,0.0,0.0,0.0,0.0,Sem fila observada,Maio de 2025,,6.591714342186146,,,2026.0,,,,,,
