ano,unidade,grupamento_norm,ano_matricula,nome_unidade,matriculas_ano_anterior,rede,capacity_concept
2024,01004,BERCARIO,2023,CP CRECHE CANTINHO FELIZ DE SANTA TERESA,0,parceira,matriculas_ano_anterior_proxy
2024,01004,MATERNAL I,2023,CP CRECHE CANTINHO FELIZ DE SANTA TERESA,25,parceira,matriculas_ano_anterior_proxy
2024,01004,MATERNAL II,2023,CP CRECHE CANTINHO FELIZ DE SANTA TERESA,25,parceira,matriculas_ano_anterior_proxy
2024,01005,BERCARIO,2023,CP CASA MATERNAL CORAÇÃO DE MÃE,0,parceira,matriculas_ano_anterior_proxy
2024,01005,MATERNAL I,2023,CP CASA MATERNAL CORAÇÃO DE MÃE,20,parceira,matriculas_ano_anterior_proxy
2024,01005,MATERNAL II,2023,CP CASA MATERNAL CORAÇÃO DE MÃE,20,parceira,matriculas_ano_anterior_proxy
2024,01006,BERCARIO,2023,CP CRECHE DO TUIUTI,44,parceira,matriculas_ano_anterior_proxy
2024,01006,MATERNAL I,2023,CP CRECHE DO TUIUTI,45,parceira,matriculas_ano_anterior_proxy
2024,01006,MATERNAL II,2023,CP CRECHE DO TUIUTI,59,parceira,matriculas_ano_anterior_proxy
2024,01007,BERCARIO,2023,CP EDUCANDÁRIO NOSSA SENHORA DE NAZARÉ,0,parceira,matriculas_ano_anterior_proxy
2024,01007,MATERNAL I,2023,CP EDUCANDÁRIO NOSSA SENHORA DE NAZARÉ,15,parceira,matriculas_ano_anterior_proxy
2024,01007,MATERNAL II,2023,CP EDUCANDÁRIO NOSSA SENHORA DE NAZARÉ,14,parceira,matriculas_ano_anterior_proxy
2024,01009,BERCARIO,2023,CP CRECHE COMUNITÁRIA ANITA WAY,39,parceira,matriculas_ano_anterior_proxy
2024,01009,MATERNAL I,2023,CP CRECHE COMUNITÁRIA ANITA WAY,48,parceira,matriculas_ano_anterior_proxy
2024,01009,MATERNAL II,2023,CP CRECHE COMUNITÁRIA ANITA WAY,43,parceira,matriculas_ano_anterior_proxy
2024,01010,BERCARIO,2023,CP CENTRO CULTURAL MONTESSORI - SÃO CRISTÓVÃO,112,parceira,matriculas_ano_anterior_proxy
2024,01010,MATERNAL I,2023,CP CENTRO CULTURAL MONTESSORI - SÃO CRISTÓVÃO,107,parceira,matriculas_ano_anterior_proxy
2024,01010,MATERNAL II,2023,CP CENTRO CULTURAL MONTESSORI - SÃO CRISTÓVÃO,78,parceira,matriculas_ano_anterior_proxy
2024,0101001,BERCARIO,2023,EM VICENTE LICINIO CARDOSO,0,publica,matriculas_ano_anterior_proxy
2024,0101001,MATERNAL I,2023,EM VICENTE LICINIO CARDOSO,0,publica,matriculas_ano_anterior_proxy
