unidade,nome_unidade_norm,demanda_2026_ppml,demanda_2026_persistencia,demanda_2026_ppml_historico,limite_p025_condicional,limite_p975_condicional,codigo_unidade,interesse_bruto_2025,status_em_2025,tipo_oferta,tipo_unidade,cre,microarea,bairro,latitude,longitude,matriculas_total,fila_total,prev_ppml_base_2025,prev_persistencia_2025,prev_ppml_cag_fem_2025,tem_contexto_creche_2025
10041,CP CRECHE BEZERRA DE MENEZES - SANTA CRUZ,600.0311406036278,649.8099123662532,53.08856571801514,358.78489811703867,901.7106224581091,10041,173,continuante,Parceira,Creche Parceira,10.0,10.1,SANTA CRUZ,-22.92397,-43.67806,157.0,9.0,118.09503820955364,141.57673153665647,113.73867961156162,True
10052,CP CRECHE COMUNITARIA DEUS E FIEL - UNIDADE VII,533.6061357287658,444.9210000584202,196.89650709365412,318.5754988204541,802.3912470413571,10052,493,continuante,,,,,,,,,,432.7281359200449,521.2597842940534,416.8772200463337,False
07040,CP CRECHE VALE DO SOL PRACA SECA,469.1529581080231,429.09177760220444,254.86303426202846,268.1443769758227,721.9689539528714,7040,887,continuante,Parceira,Creche Parceira,7.0,7.2,JACAREPAGUÁ,-22.89823,-43.35344,389.0,233.0,661.0503742234406,796.1392825373019,636.8582738289316,True
08016,CP ASSOCIACAO CENTRO EDUCACIONAL REBRAL VI,463.50825438702236,403.16834687335836,109.70920923898893,274.6332765066747,700.0561001371714,8016,454,continuante,Parceira,Creche Parceira,8.0,8.5,REALENGO,-22.88321,-43.42582,251.0,24.0,428.9118814575471,516.6631371662398,413.2003832559162,True
10051,CP CRECHE COMUNITARIA DEUS E FIEL - UNIDADE VI,443.8992190379689,361.3650612525375,90.63653643184446,265.0957698733666,667.3896744806865,10051,244,continuante,,,,,,,,,,222.25526535666228,267.52486283874697,214.09351535757,False
08009,CP ASSOCIACAO RECREATIVA PINGUINHO DE GENTE,400.8124694263529,297.4854887405347,105.38918829860998,237.11973750539426,605.7051820514588,8009,555,continuante,Parceira,Creche Parceira,8.0,8.8,SENADOR CAMARÁ,-22.87421,-43.48822,98.0,141.0,487.690504761705,587.451502934568,469.8316725864839,True
0817807,EDI MARIA DO CARMO SOUZA PIRAN,390.0057154400801,315.96520366711,129.82310137297722,232.29799453660334,587.4069759558344,817807,168,continuante,Pública,EDI,8.0,8.19,Bangu,-22.863767,-43.471723,144.0,4.0,180.01124380922997,217.8810738583609,161.25374677705432,True
10072,CP CRECHE COMUNITARIA DEUS E FIEL - UNIDADE X,381.29782366490093,308.7164815345597,72.02567075076675,227.72815124681608,573.2587490165322,10072,219,continuante,,,,,,,,,,179.63145313508195,216.04241500723552,173.02689807946766,False
09035,CP INSTITUTO CRESCER E APRENDER - FILIAL,362.5317337892392,284.3309768637358,32.3051647988114,216.7596702488016,544.8953998444538,9035,108,continuante,Parceira,Creche Parceira,9.0,9.18,CAMPO GRANDE,-22.90268,-43.57109,80.0,0.0,98.3924150850714,117.67416647202616,94.7559131697354,True
07041,CP CRECHE VALE DO SOL TAQUARA,359.80053476058896,313.83115396660844,110.73820056495045,210.80106952559908,546.1161167714084,7041,531,continuante,Parceira,Creche Parceira,7.0,7.8,TAQUARA / JACAREPAGUÁ,-22.91733,-43.37196,122.0,173.0,405.2529955180398,488.163924973796,390.4058181522087,True
07037,CP CAAD UNIVERSO DA CRIANCA,352.07132963184375,307.8481379684241,153.5325940006299,204.10218219802354,537.4717644882102,7037,483,continuante,Parceira,Creche Parceira,7.0,7.5,FREGUESIA / JACAREPAGUÁ,-22.92011,-43.36048,294.0,15.0,444.1773778567068,535.0497256774939,427.9081915770171,True
09042,CP CRECHE PEQUENA CANAA,350.27573268192384,271.8395007480382,12.680230772254594,209.59698437915623,526.252380744928,9042,60,continuante,Parceira,Creche Parceira,9.0,9.18,CAMPO GRANDE,-22.89855,-43.56794,40.0,0.0,68.17026522281797,80.90098944951798,65.63804356962831,True
07014,CP CENTRO INTEGRADO SAO JOSE,345.9389468148901,311.7650335926294,91.35800065150673,203.34216436313545,524.60229335738,7014,712,continuante,Parceira,Creche Parceira,7.0,7.16,CIDADE DE DEUS / JACAREPAGUÁ,-22.94726,-43.36008,115.0,270.0,573.9766281948305,691.3357280231536,552.9655470363003,True
0716821,EDI MEDALHISTA PARALIMPICO FELIPE DE SOUZA GOMES,339.77736474235377,280.53311245686916,195.93386615219546,200.38730037588596,514.0460052262592,716821,509,continuante,Pública,EDI,7.0,7.1,Taquara,-22.933395,-43.384692,171.0,127.0,653.0617726966806,623.3053505315135,584.9943411885142,True
07013,CP ESPACO DE EDUCACAO INFANTIL CIDADE DE DEUS,334.7262352233565,296.8000303655533,128.07591093913229,196.9466446483537,507.30209978833875,7013,673,continuante,Parceira,Creche Parceira,7.0,7.14,CIDADE DE DEUS / JACAREPAGUÁ,-22.95235,-43.36266,194.0,322.0,548.7752441034839,660.9978569795844,528.6848324138944,True
0817619,CM PROFESSORA REGINA MARIA DA MATTA MONTEZANO,331.2207698014489,261.34113474458826,77.32669895438019,197.61660189272456,498.4562287877595,817619,208,continuante,Pública,Creche,8.0,8.18,Bangu,-22.868027,-43.474576,142.0,0.0,207.3646560159937,220.63906213504904,185.75588938461044,True
0716819,EDI PROFESSORA NORMA ANDRADE NOGUEIRA,319.52005951987906,230.56669576749707,215.5578695104645,188.74248879168093,482.9944081007683,716819,571,continuante,Pública,EDI,7.0,7.18,Anil,-22.96226,-43.343769,142.0,137.0,745.4403312342047,786.0266588561121,667.7435243555584,True
0918807,EDI URBANO DE FREITAS,314.76847645299466,243.2987649799664,210.4717021635694,188.33170056717904,472.92675513298184,918807,259,continuante,Pública,EDI,9.0,9.8,Campo Grande,-22.893198,-43.567798,176.0,0.0,350.5364385947389,356.69981711832924,314.00370459105625,True
0833601,CM CASA DE REALENGO,310.3082176373899,270.77968351178333,112.74992823771356,184.00793003224436,468.45712083371234,833601,398,continuante,Pública,Creche,8.0,8.6,Realengo,-22.880628,-43.430644,114.0,9.0,397.6831102152043,451.39074795128784,356.2358920432204,True
0817808,EDI PROFESSOR ANTONIO FLAVIO PIERUCCI,305.8432636183354,236.41185819294395,308.26340407148666,180.82731329202988,462.32616770441825,817808,377,continuante,Pública,EDI,8.0,8.12,Senador Camará,-22.879882,-43.490044,201.0,53.0,345.41588145606585,399.9083001197764,309.4169051008845,True
05010,CP ASSOCIACAO CENTRO EDUCACIONAL REBRAL VII,296.6482136102836,261.70094188986167,156.65471572091852,172.37443940543028,452.35339172303395,5010,641,continuante,Parceira,Creche Parceira,5.0,5.2,IRAJÁ,-22.82850531,-43.32955762,557.0,0.0,403.7267329340677,486.3252661226706,388.9353139468561,True
05014,CP AEMMAC - MARECHAL HERMES,290.9087361262291,237.5833483604321,67.55703063883311,166.01514597594525,447.4228532115177,5014,407,continuante,Parceira,Creche Parceira,5.0,5.14,MARECHAL HERMES,-22.86148952,-43.36831059,219.0,25.0,341.9269512244288,411.8595826520916,329.39324354949184,True
07044,CP CRECHE AMOR DE MAE,277.7556273025587,187.39554130871437,106.92842088164662,162.85741754395463,422.10247250924004,7044,512,continuante,Parceira,Creche Parceira,7.0,7.28,RECREIO DOS BANDEIRANTES,-23.02235,-43.48079,176.0,17.0,303.03276970798976,364.9737819483936,291.91997460330066,True
1120605,CM SEMPRE VIDA LORETO,263.99440789010885,180.44297234244402,187.21309225704232,150.36890936950726,406.31404181257875,1120605,264,continuante,Pública,Creche,11.0,11.1,Ilha do Governador,-22.814814,-43.225622,114.0,113.0,237.36997743042275,323.6039577980719,212.6335107351809,True
0918606,CM CECILIA MEIRELES,256.1759448464569,216.36531366711557,80.2886586950539,153.0947764133578,385.1823327581942,918606,175,continuante,Pública,Creche,9.0,9.7,Campo Grande,-22.891834,-43.561631,105.0,1.0,264.37809671895315,299.7013927334416,236.8263526656091,True
04027,CP ASSOCIACAO CENTRO EDUCACIONAL REBRAL IV,250.80848807616218,240.56583566985412,116.33459170884116,144.01237087300245,384.36744620207884,4027,392,continuante,Parceira,Creche Parceira,4.0,4.23,VIGÁRIO GERAL,-22.80848159,-43.30968078,192.0,61.0,353.36912044151774,425.64952403553207,340.41739920554284,True
09046,CP CRECHE COMUNITARIA URSINHO PIMPAO,246.43549764421326,214.24322348741725,52.50808134692715,144.1375181971071,374.12555674900534,9046,310,continuante,Parceira,Creche Parceira,9.0,9.7,SANTÍSSIMO,-22.87472,-43.51354,73.0,53.0,227.5862700023029,273.9601688176859,219.2297612312095,True
0817815,EDI SENHOR JOAO GOMES,245.46961288714132,196.02930303625533,173.5721308769925,146.2306043884104,369.69930451565415,817815,337,continuante,Pública,EDI,8.0,8.18,Bangu,-22.869535,-43.478332,120.0,38.0,304.1003602816341,379.68305275739687,272.40803931803464,True
10069,CP CRECHE E ESCOLA COMUNITARIA GENTE BAIXINHA II,245.13658984400143,205.96766667859907,120.3947730350648,145.87192183450563,369.1835239829792,10069,411,continuante,Parceira,Creche Parceira,10.0,10.18,PACIÊNCIA,-22.91875,-43.62709,95.0,16.0,351.84343349720695,423.8108651844067,338.9474497391861,True
1026809,EDI MEDALHISTA PARALIMPICO RICARDO COSTA DE OLIVEIRA,232.0333209560574,193.35048489608096,93.34575296942897,138.42805805503002,349.040177257788,1026809,238,continuante,Pública,EDI,10.0,10.26,Guaratiba,-22.964108,-43.610268,167.0,47.0,239.1351261864285,236.26766236961504,214.21466359175392,True
