competencia,admissoes_fem,desligamentos_fem,saldo_fem,ano,mes,municipio,codigo_municipio_ibge,sexo,extraido_em_utc,fonte
202001,22899,29363,-6464,2020,1,Rio de Janeiro,3304557,Mulher,2026-08-30T17:04:40.407676+00:00,https://app.powerbi.com/view?pageName=ReportSectionb52b07ec3b5f3ac6c749&r=eyJrIjoiNWI5NWI0ODEtYmZiYy00Mjg3LTkzNWUtY2UyYjIwMDE1YWI2IiwidCI6IjNlYzkyOTY5LTVhNTEtNGYxOC04YWM5LWVmOThmYmFmYTk3OCJ9
202002,26449,29611,-3162,2020,2,Rio de Janeiro,3304557,Mulher,2026-08-30T17:04:40.407676+00:00,https://app.powerbi.com/view?pageName=ReportSectionb52b07ec3b5f3ac6c749&r=eyJrIjoiNWI5NWI0ODEtYmZiYy00Mjg3LTkzNWUtY2UyYjIwMDE1YWI2IiwidCI6IjNlYzkyOTY5LTVhNTEtNGYxOC04YWM5LWVmOThmYmFmYTk3OCJ9
202003,22292,30106,-7814,2020,3,Rio de Janeiro,3304557,Mulher,2026-08-30T17:04:40.407676+00:00,https://app.powerbi.com/view?pageName=ReportSectionb52b07ec3b5f3ac6c749&r=eyJrIjoiNWI5NWI0ODEtYmZiYy00Mjg3LTkzNWUtY2UyYjIwMDE1YWI2IiwidCI6IjNlYzkyOTY5LTVhNTEtNGYxOC04YWM5LWVmOThmYmFmYTk3OCJ9
202004,12144,30222,-18078,2020,4,Rio de Janeiro,3304557,Mulher,2026-08-30T17:04:40.407676+00:00,https://app.powerbi.com/view?pageName=ReportSectionb52b07ec3b5f3ac6c749&r=eyJrIjoiNWI5NWI0ODEtYmZiYy00Mjg3LTkzNWUtY2UyYjIwMDE1YWI2IiwidCI6IjNlYzkyOTY5LTVhNTEtNGYxOC04YWM5LWVmOThmYmFmYTk3OCJ9
202005,10479,18229,-7750,2020,5,Rio de Janeiro,3304557,Mulher,2026-08-30T17:04:40.407676+00:00,https://app.powerbi.com/view?pageName=ReportSectionb52b07ec3b5f3ac6c749&r=eyJrIjoiNWI5NWI0ODEtYmZiYy00Mjg3LTkzNWUtY2UyYjIwMDE1YWI2IiwidCI6IjNlYzkyOTY5LTVhNTEtNGYxOC04YWM5LWVmOThmYmFmYTk3OCJ9
202006,10322,16232,-5910,2020,6,Rio de Janeiro,3304557,Mulher,2026-08-30T17:04:40.407676+00:00,https://app.powerbi.com/view?pageName=ReportSectionb52b07ec3b5f3ac6c749&r=eyJrIjoiNWI5NWI0ODEtYmZiYy00Mjg3LTkzNWUtY2UyYjIwMDE1YWI2IiwidCI6IjNlYzkyOTY5LTVhNTEtNGYxOC04YWM5LWVmOThmYmFmYTk3OCJ9
202007,13199,17254,-4055,2020,7,Rio de Janeiro,3304557,Mulher,2026-08-30T17:04:40.407676+00:00,https://app.powerbi.com/view?pageName=ReportSectionb52b07ec3b5f3ac6c749&r=eyJrIjoiNWI5NWI0ODEtYmZiYy00Mjg3LTkzNWUtY2UyYjIwMDE1YWI2IiwidCI6IjNlYzkyOTY5LTVhNTEtNGYxOC04YWM5LWVmOThmYmFmYTk3OCJ9
202008,16502,17671,-1169,2020,8,Rio de Janeiro,3304557,Mulher,2026-08-30T17:04:40.407676+00:00,https://app.powerbi.com/view?pageName=ReportSectionb52b07ec3b5f3ac6c749&r=eyJrIjoiNWI5NWI0ODEtYmZiYy00Mjg3LTkzNWUtY2UyYjIwMDE1YWI2IiwidCI6IjNlYzkyOTY5LTVhNTEtNGYxOC04YWM5LWVmOThmYmFmYTk3OCJ9
202009,18249,18018,231,2020,9,Rio de Janeiro,3304557,Mulher,2026-08-30T17:04:40.407676+00:00,https://app.powerbi.com/view?pageName=ReportSectionb52b07ec3b5f3ac6c749&r=eyJrIjoiNWI5NWI0ODEtYmZiYy00Mjg3LTkzNWUtY2UyYjIwMDE1YWI2IiwidCI6IjNlYzkyOTY5LTVhNTEtNGYxOC04YWM5LWVmOThmYmFmYTk3OCJ9
202010,21376,19679,1697,2020,10,Rio de Janeiro,3304557,Mulher,2026-08-30T17:04:40.407676+00:00,https://app.powerbi.com/view?pageName=ReportSectionb52b07ec3b5f3ac6c749&r=eyJrIjoiNWI5NWI0ODEtYmZiYy00Mjg3LTkzNWUtY2UyYjIwMDE1YWI2IiwidCI6IjNlYzkyOTY5LTVhNTEtNGYxOC04YWM5LWVmOThmYmFmYTk3OCJ9
