ano_teste,codigo_unidade,nome_unidade,demanda_observada,prev_f1_cag_fem,prev_modelo,prev_persistencia,erro_abs_cag_fem
2025,10001,CP ESCOLA COMUNITÁRIA JARDIM DE INFÂNCIA TIA ANASTÁCIA,116,115.2001731619435,119.6119528867241,143.41539038778183,0.7998268380565037
2025,10004,CP ESCOLA COMUNITÁRIA JARDIM BALÃO MÁGICO,38,48.977111632879094,50.87737055494525,59.75641266157579,10.977111632879094
2025,10005,CP CRECHE COMUNITÁRIA JARDIM PEDRA AZUL,26,31.72087697508167,32.966356143963175,37.69250644807087,5.720876975081669
2025,10006,CP CRECHE ESCOLA COMUNITÁRIA ISMÊNIA RIBEIRO,84,84.55008992024112,87.79955681618333,104.80355451414827,0.5500899202411205
2025,10008,CP CRECHE COMUNITÁRIA JARDIM ESPERANÇA,92,70.7232832085773,73.44837173913737,87.3362954284569,21.2767167914227
2025,10009,CP JARDIM ESCOLA ERNESTO FAGUNDES VARELA,68,66.3641639038204,68.92392541263105,81.82031887508069,1.6358360961796024
2025,10010,CP ESCOLA COMUNITÁRIA JARDIM ARCO-ÍRIS,95,80.90848460522885,84.01984773721698,100.20690738633476,14.09151539477115
2025,10011,CP CRECHE PINGUINHO DE GENTE,30,31.720876975081698,32.966356143963175,37.69250644807087,1.7208769750816977
2025,10013,CP ESCOLA COMUNITÁRIA ENCANTO DE MARIA,53,48.25485335619771,50.12771305952725,58.83708323601308,4.745146643802293
2025,10014,CP CRECHE COMUNITÁRIA SÃO JOÃO BATISTA,54,36.733876513715565,38.16961544145805,44.12781242700981,17.266123486284435
2025,10018,CP CRECHE ESCOLA COMUNITÁRIA SÍTIO ALEGRE,244,154.7104357442195,160.62044514490344,193.0591793681679,89.2895642557805
2025,10019,CP ESCOLA COMUNITÁRIA JARDIM ALEXANDRINO,166,138.6034435860128,143.90268221494495,172.8339320057884,27.396556413987213
2025,10020,CP CASA MATERNAL NOSSA SENHORA DE NAZARÉ,112,88.19353455989565,91.58117310147928,109.4002016419618,23.806465440104347
2025,10022,CP ASSOCIAÇÃO DE MORADORES E AMIGOS DO PARQUE ESTORIL - AMAPE,203,154.7104357442195,160.62044514490344,193.0591793681679,48.289564255780505
2025,10023,CP CRECHE ESCOLA SOSSEGO DA MAMÃE,90,86.73594576611752,90.06830785982662,107.5615427908364,3.264054233882476
2025,10024,CP CRECHE COMUNITÁRIA MUNDO ENCANTADO DA CRIANÇA,170,159.83776841614713,165.9422028700973,199.49448534710683,10.162231583852872
2025,10026,CP CRECHE E ESCOLA COMUNITÁRIA GENTE BAIXINHA I,249,175.95863491130442,182.6743585181564,219.71973270948632,73.04136508869558
2025,10027,CP CRECHE CASULO AGOSTINHO - SANTA CRUZ,194,124.7036097513613,129.47576544649894,155.36667292009702,69.2963902486387
2025,10028,CP CRECHE CASULO AGOSTINHO - VERIDIANA,124,115.2001731619435,119.6119528867241,143.41539038778183,8.799826838056504
2025,10029,CP ASSOCIAÇÃO DE MORADORES DAS MORADAS DO IMPÉRIO,65,69.26980252951967,71.93976587894677,85.4976365773315,4.269802529519666
2025,10030,CP INSTITUTO AVELINO - GUARATIBA,93,74.3587758124657,77.22174307072886,91.93294255627043,18.641224187534306
2025,10032,CP CRECHE COMUNITÁRIA MUNDO MÁGICO,150,137.13979446239753,142.3835317177258,170.995273154663,12.860205537602468
2025,10033,CP PROJETO QUEBRA CABEÇA,69,56.93484540128648,59.13696347468956,69.86903634276553,12.06515459871352
2025,10034,CP OS BENEDITINHOS,134,120.31663424757679,124.92243377986205,149.8506963667208,13.683365752423214
2025,10035,CP ESCOLA COMUNITÁRIA JARDIM DE INFÂNCIA CHAVE DO TAMANHO,139,55.48637820432478,57.63355439706991,68.03037749164012,83.51362179567522
2025,10036,CP CAAD DONA ZULMIRA TELLES,157,151.78101772587092,157.5799452666911,189.38186166591709,5.2189822741290754
2025,10037,CP CAAD - COMITÊ DE ATENDIMENTO À CRIANÇA E AO ADOLESCENTE,71,61.283953350917784,63.651032199515,75.38501289614175,9.716046649082216
2025,10039,CP FUNDAÇÃO KLINGNER PARA O DESENVOLVIMENTO SOCIAL,243,206.75702397654797,214.64058477011005,258.3315685831199,36.24297602345203
2025,1004,CP CRECHE CANTINHO FELIZ DE SANTA TERESA,136,117.39271204084844,121.88763455336822,146.17337866447,18.607287959151563
2025,10040,CP CICIM I,219,161.3029117467172,167.46290335891553,201.33314419823225,57.6970882532828
2025,10041,CP CRECHE BEZERRA DE MENEZES - SANTA CRUZ,173,113.73867961156162,118.09503820955364,141.57673153665647,59.26132038843838
2025,10042,CP CICIM II,179,135.67625862574747,140.8644987316074,169.1566143035376,43.323741374252535
2025,10043,CP CRECHE CANTINHO CASLU,168,126.89756444078661,131.75291559734308,158.12466119678513,41.10243555921339
2025,10044,CP CRECHE COMUNITÁRIA MAGIA DA CRIANÇA,93,96.21488991097274,99.9067195994734,119.51282532315156,3.214889910972744
2025,10045,CP ESPAÇO CRIATIVO ERA UMA VEZ,73,72.90428180639289,75.71208666111399,90.09428370514502,0.09571819360711231
