mes_rotulo,estoque,admissoes,desligamentos,saldo,mes_nome,ano,mes,data
Janeiro/2020,1847642,54667,65072,-10405,Janeiro,2020,1,2020-01-01
Fevereiro/2020,1842621,59603,64624,-5021,Fevereiro,2020,2,2020-02-01
Março/2020,1822498,51402,71525,-20123,Março,2020,3,2020-03-01
Abril/2020,1774917,24599,72180,-47581,Abril,2020,4,2020-04-01
Maio/2020,1753355,24381,45943,-21562,Maio,2020,5,2020-05-01
Junho/2020,1740150,26698,39903,-13205,Junho,2020,6,2020-06-01
Julho/2020,1728814,35183,46519,-11336,Julho,2020,7,2020-07-01
Agosto/2020,1723477,41004,46341,-5337,Agosto,2020,8,2020-08-01
Setembro/2020,1725707,46178,43948,2230,Setembro,2020,9,2020-09-01
Outubro/2020,1731761,52791,46737,6054,Outubro,2020,10,2020-10-01
Novembro/2020,1747875,57885,41771,16114,Novembro,2020,11,2020-11-01
Dezembro/2020,1750261,53763,51377,2386,Dezembro,2020,12,2020-12-01
Janeiro/2021,1746066,51227,55422,-4195,Janeiro,2021,1,2021-01-01
Fevereiro/2021,1751332,54609,49343,5266,Fevereiro,2021,2,2021-02-01
Março/2021,1755942,58789,54179,4610,Março,2021,3,2021-03-01
Abril/2021,1756325,47779,47396,383,Abril,2021,4,2021-04-01
Maio/2021,1765266,55213,46272,8941,Maio,2021,5,2021-05-01
Junho/2021,1773074,54714,46906,7808,Junho,2021,6,2021-06-01
Julho/2021,1779084,58287,52277,6010,Julho,2021,7,2021-07-01
Agosto/2021,1795653,66730,50161,16569,Agosto,2021,8,2021-08-01
Setembro/2021,1807276,64363,52740,11623,Setembro,2021,9,2021-09-01
Outubro/2021,1819945,63651,50982,12669,Outubro,2021,10,2021-10-01
Novembro/2021,1840494,69232,48683,20549,Novembro,2021,11,2021-11-01
Dezembro/2021,1837234,60058,63318,-3260,Dezembro,2021,12,2021-12-01
Janeiro/2022,1842546,62754,57442,5312,Janeiro,2022,1,2022-01-01
Fevereiro/2022,1855677,70637,57506,13131,Fevereiro,2022,2,2022-02-01
Março/2022,1860480,66183,61380,4803,Março,2022,3,2022-03-01
Abril/2022,1873598,72802,59684,13118,Abril,2022,4,2022-04-01
Maio/2022,1881038,66725,59285,7440,Maio,2022,5,2022-05-01
Junho/2022,1893965,68606,55679,12927,Junho,2022,6,2022-06-01
Julho/2022,1900984,64854,57835,7019,Julho,2022,7,2022-07-01
Agosto/2022,1921922,79695,58757,20938,Agosto,2022,8,2022-08-01
Setembro/2022,1928523,72871,66270,6601,Setembro,2022,9,2022-09-01
Outubro/2022,1929629,59847,58741,1106,Outubro,2022,10,2022-10-01
Novembro/2022,1942904,67791,54516,13275,Novembro,2022,11,2022-11-01
Dezembro/2022,1937290,56801,62415,-5614,Dezembro,2022,12,2022-12-01
Janeiro/2023,1933388,60295,64197,-3902,Janeiro,2023,1,2023-01-01
Fevereiro/2023,1939998,67178,60568,6610,Fevereiro,2023,2,2023-02-01
Março/2023,1945627,73418,67789,5629,Março,2023,3,2023-03-01
Abril/2023,1952908,62627,55346,7281,Abril,2023,4,2023-04-01
Maio/2023,1957431,64788,60265,4523,Maio,2023,5,2023-05-01
Junho/2023,1963218,63419,57632,5787,Junho,2023,6,2023-06-01
Julho/2023,1968885,63650,57983,5667,Julho,2023,7,2023-07-01
Agosto/2023,1978321,69781,60345,9436,Agosto,2023,8,2023-08-01
Setembro/2023,1986364,64888,56845,8043,Setembro,2023,9,2023-09-01
Outubro/2023,1996819,67022,56567,10455,Outubro,2023,10,2023-10-01
Novembro/2023,2009299,68470,55990,12480,Novembro,2023,11,2023-11-01
Dezembro/2023,2007743,62136,63692,-1556,Dezembro,2023,12,2023-12-01
Janeiro/2024,2010198,68786,66331,2455,Janeiro,2024,1,2024-01-01
Fevereiro/2024,2018818,75149,66529,8620,Fevereiro,2024,2,2024-02-01
Março/2024,2029479,76776,66115,10661,Março,2024,3,2024-03-01
Abril/2024,2038401,72680,63758,8922,Abril,2024,4,2024-04-01
Maio/2024,2046009,72919,65311,7608,Maio,2024,5,2024-05-01
Junho/2024,2052464,69175,62720,6455,Junho,2024,6,2024-06-01
Julho/2024,2057262,72236,67438,4798,Julho,2024,7,2024-07-01
Agosto/2024,2067702,76646,66206,10440,Agosto,2024,8,2024-08-01
Setembro/2024,2079310,77870,66262,11608,Setembro,2024,9,2024-09-01
Outubro/2024,2086294,73964,66980,6984,Outubro,2024,10,2024-10-01
Novembro/2024,2093011,71285,64568,6717,Novembro,2024,11,2024-11-01
Dezembro/2024,2085039,60225,68197,-7972,Dezembro,2024,12,2024-12-01
Janeiro/2025,2079134,66497,72402,-5905,Janeiro,2025,1,2025-01-01
Fevereiro/2025,2097481,91020,72673,18347,Fevereiro,2025,2,2025-02-01
Março/2025,2090519,68823,75785,-6962,Março,2025,3,2025-03-01
Abril/2025,2099322,73866,65063,8803,Abril,2025,4,2025-04-01
Maio/2025,2103007,73644,69959,3685,Maio,2025,5,2025-05-01
Junho/2025,2109668,74809,68148,6661,Junho,2025,6,2025-06-01
Julho/2025,2109715,74197,74150,47,Julho,2025,7,2025-07-01
Agosto/2025,2116393,79075,72397,6678,Agosto,2025,8,2025-08-01
Setembro/2025,2123844,75413,67962,7451,Setembro,2025,9,2025-09-01
Outubro/2025,2129439,74315,68720,5595,Outubro,2025,10,2025-10-01
Novembro/2025,2138189,70400,61650,8750,Novembro,2025,11,2025-11-01
Dezembro/2025,2125526,59281,71944,-12663,Dezembro,2025,12,2025-12-01
