ano,ano_caged,ultimo_mes_disponivel,saldo_jan_corte,estoque_inicio,caged_taxa_pre_corte,caged_pre_corte_z,media_treino,desvio_treino,cenario_corte
2021,2020,8,-134570.0,1858047.0,-0.0724255091501991,-1.6955141578953168,0.005195968721345267,0.04578049526162484,jan-08
2022,2021,8,45392.0,1750261.0,0.0259344177811195,0.4529974815968862,0.005195968721345267,0.04578049526162484,jan-08
2023,2022,8,84688.0,1837234.0,0.04609538033805166,0.8933807155858801,0.005195968721345267,0.04578049526162484,jan-08
2024,2023,8,41031.0,1937290.0,0.021179585916409005,0.34913596071255015,0.005195968721345267,0.04578049526162484,jan-08
2025,2024,8,59959.0,2007743.0,0.029863881980910903,0.5388301965410002,0.005195968721345267,0.04578049526162484,jan-08
2021,2020,9,-132340.0,1858047.0,-0.07122532422484469,-1.7013836772620972,0.009092340135509816,0.047207261615206865,jan-09
2022,2021,9,57015.0,1750261.0,0.03257514165030244,0.4974404511366131,0.009092340135509816,0.047207261615206865,jan-09
2023,2022,9,91289.0,1837234.0,0.04968828140563478,0.8599511999028514,0.009092340135509816,0.047207261615206865,jan-09
2024,2023,9,49074.0,1937290.0,0.025331261710946736,0.34399202622263264,0.009092340135509816,0.047207261615206865,jan-09
2025,2024,9,71567.0,2007743.0,0.03564549845274022,0.5624803771434359,0.009092340135509816,0.047207261615206865,jan-09
